"fare_id","price","currency_type","payment_method","transfers","agency_id"
"3_0","0","JPY","0","0","9300001007204"
"3_100","100","JPY","0","0","9300001007204"
"3_160","160","JPY","0","0","9300001007204"
"3_170","170","JPY","0","0","9300001007204"
"3_180","180","JPY","0","0","9300001007204"
"3_190","190","JPY","0","0","9300001007204"
"3_200","200","JPY","0","0","9300001007204"
"3_210","210","JPY","0","0","9300001007204"
"3_220","220","JPY","0","0","9300001007204"
"3_230","230","JPY","0","0","9300001007204"
"3_240","240","JPY","0","0","9300001007204"
"3_250","250","JPY","0","0","9300001007204"
"3_260","260","JPY","0","0","9300001007204"
"3_270","270","JPY","0","0","9300001007204"
"3_280","280","JPY","0","0","9300001007204"
"3_290","290","JPY","0","0","9300001007204"
"3_300","300","JPY","0","0","9300001007204"
"3_310","310","JPY","0","0","9300001007204"
"3_320","320","JPY","0","0","9300001007204"
"3_330","330","JPY","0","0","9300001007204"
"3_340","340","JPY","0","0","9300001007204"
"3_350","350","JPY","0","0","9300001007204"
"3_360","360","JPY","0","0","9300001007204"
"3_370","370","JPY","0","0","9300001007204"
"3_380","380","JPY","0","0","9300001007204"
"3_390","390","JPY","0","0","9300001007204"
"3_400","400","JPY","0","0","9300001007204"
"3_410","410","JPY","0","0","9300001007204"
"3_420","420","JPY","0","0","9300001007204"
"3_430","430","JPY","0","0","9300001007204"
"3_440","440","JPY","0","0","9300001007204"
"3_450","450","JPY","0","0","9300001007204"
"3_460","460","JPY","0","0","9300001007204"
"3_470","470","JPY","0","0","9300001007204"
"3_480","480","JPY","0","0","9300001007204"
"3_490","490","JPY","0","0","9300001007204"
"3_500","500","JPY","0","0","9300001007204"
"3_510","510","JPY","0","0","9300001007204"
"3_520","520","JPY","0","0","9300001007204"
"3_530","530","JPY","0","0","9300001007204"
"3_540","540","JPY","0","0","9300001007204"
"3_560","560","JPY","0","0","9300001007204"
"3_570","570","JPY","0","0","9300001007204"
"3_580","580","JPY","0","0","9300001007204"
"3_590","590","JPY","0","0","9300001007204"
"3_600","600","JPY","0","0","9300001007204"
"3_610","610","JPY","0","0","9300001007204"
"3_620","620","JPY","0","0","9300001007204"
"3_630","630","JPY","0","0","9300001007204"
"3_640","640","JPY","0","0","9300001007204"
"3_650","650","JPY","0","0","9300001007204"
"3_660","660","JPY","0","0","9300001007204"
"3_670","670","JPY","0","0","9300001007204"
"3_680","680","JPY","0","0","9300001007204"
"3_690","690","JPY","0","0","9300001007204"
"3_700","700","JPY","0","0","9300001007204"
"3_710","710","JPY","0","0","9300001007204"
"3_720","720","JPY","0","0","9300001007204"
"3_730","730","JPY","0","0","9300001007204"
"3_740","740","JPY","0","0","9300001007204"
"3_750","750","JPY","0","0","9300001007204"
"3_760","760","JPY","0","0","9300001007204"
"3_770","770","JPY","0","0","9300001007204"
"3_780","780","JPY","0","0","9300001007204"
"3_790","790","JPY","0","0","9300001007204"
"3_800","800","JPY","0","0","9300001007204"
"3_810","810","JPY","0","0","9300001007204"
"3_830","830","JPY","0","0","9300001007204"
"3_840","840","JPY","0","0","9300001007204"
"3_850","850","JPY","0","0","9300001007204"
"3_860","860","JPY","0","0","9300001007204"
"3_870","870","JPY","0","0","9300001007204"
"3_880","880","JPY","0","0","9300001007204"
"3_890","890","JPY","0","0","9300001007204"
"3_900","900","JPY","0","0","9300001007204"
"3_910","910","JPY","0","0","9300001007204"
"3_930","930","JPY","0","0","9300001007204"
"3_940","940","JPY","0","0","9300001007204"
"3_950","950","JPY","0","0","9300001007204"
"3_960","960","JPY","0","0","9300001007204"
"3_970","970","JPY","0","0","9300001007204"
"3_980","980","JPY","0","0","9300001007204"
"3_990","990","JPY","0","0","9300001007204"
"3_1000","1000","JPY","0","0","9300001007204"
"3_1010","1010","JPY","0","0","9300001007204"
"3_1020","1020","JPY","0","0","9300001007204"
"3_1030","1030","JPY","0","0","9300001007204"
"3_1040","1040","JPY","0","0","9300001007204"
"3_1050","1050","JPY","0","0","9300001007204"
"3_1060","1060","JPY","0","0","9300001007204"
"3_1070","1070","JPY","0","0","9300001007204"
"3_1100","1100","JPY","0","0","9300001007204"
"3_1110","1110","JPY","0","0","9300001007204"
"3_1150","1150","JPY","0","0","9300001007204"
"3_1200","1200","JPY","0","0","9300001007204"
"3_1250","1250","JPY","0","0","9300001007204"
"3_1330","1330","JPY","0","0","9300001007204"
"3_1540","1540","JPY","0","0","9300001007204"
"3_1680","1680","JPY","0","0","9300001007204"
"3_1880","1880","JPY","0","0","9300001007204"
"3_2100","2100","JPY","0","0","9300001007204"
"4_100","100","JPY","0","0","6300001004996"
"4_160","160","JPY","0","0","6300001004996"
"4_170","170","JPY","0","0","6300001004996"
"4_180","180","JPY","0","0","6300001004996"
"4_190","190","JPY","0","0","6300001004996"
"4_200","200","JPY","0","0","6300001004996"
"4_210","210","JPY","0","0","6300001004996"
"4_220","220","JPY","0","0","6300001004996"
"4_230","230","JPY","0","0","6300001004996"
"4_240","240","JPY","0","0","6300001004996"
"4_250","250","JPY","0","0","6300001004996"
"4_260","260","JPY","0","0","6300001004996"
"4_270","270","JPY","0","0","6300001004996"
"4_280","280","JPY","0","0","6300001004996"
"4_290","290","JPY","0","0","6300001004996"
"4_300","300","JPY","0","0","6300001004996"
"4_310","310","JPY","0","0","6300001004996"
"4_320","320","JPY","0","0","6300001004996"
"4_330","330","JPY","0","0","6300001004996"
"4_340","340","JPY","0","0","6300001004996"
"4_350","350","JPY","0","0","6300001004996"
"4_360","360","JPY","0","0","6300001004996"
"4_370","370","JPY","0","0","6300001004996"
"4_380","380","JPY","0","0","6300001004996"
"4_390","390","JPY","0","0","6300001004996"
"4_400","400","JPY","0","0","6300001004996"
"4_410","410","JPY","0","0","6300001004996"
"4_420","420","JPY","0","0","6300001004996"
"4_430","430","JPY","0","0","6300001004996"
"4_440","440","JPY","0","0","6300001004996"
"4_450","450","JPY","0","0","6300001004996"
"4_460","460","JPY","0","0","6300001004996"
"4_470","470","JPY","0","0","6300001004996"
"4_480","480","JPY","0","0","6300001004996"
"4_490","490","JPY","0","0","6300001004996"
"4_500","500","JPY","0","0","6300001004996"
"4_510","510","JPY","0","0","6300001004996"
"4_520","520","JPY","0","0","6300001004996"
"4_530","530","JPY","0","0","6300001004996"
"4_540","540","JPY","0","0","6300001004996"
"4_550","550","JPY","0","0","6300001004996"
"4_560","560","JPY","0","0","6300001004996"
"4_570","570","JPY","0","0","6300001004996"
"4_580","580","JPY","0","0","6300001004996"
"4_590","590","JPY","0","0","6300001004996"
"4_600","600","JPY","0","0","6300001004996"
"4_610","610","JPY","0","0","6300001004996"
"4_620","620","JPY","0","0","6300001004996"
"4_630","630","JPY","0","0","6300001004996"
"4_640","640","JPY","0","0","6300001004996"
"4_650","650","JPY","0","0","6300001004996"
"4_660","660","JPY","0","0","6300001004996"
"4_670","670","JPY","0","0","6300001004996"
"4_680","680","JPY","0","0","6300001004996"
"4_690","690","JPY","0","0","6300001004996"
"4_700","700","JPY","0","0","6300001004996"
"4_710","710","JPY","0","0","6300001004996"
"4_720","720","JPY","0","0","6300001004996"
"4_730","730","JPY","0","0","6300001004996"
"4_740","740","JPY","0","0","6300001004996"
"4_750","750","JPY","0","0","6300001004996"
"4_760","760","JPY","0","0","6300001004996"
"4_770","770","JPY","0","0","6300001004996"
"4_780","780","JPY","0","0","6300001004996"
"4_790","790","JPY","0","0","6300001004996"
"4_800","800","JPY","0","0","6300001004996"
"4_810","810","JPY","0","0","6300001004996"
"4_820","820","JPY","0","0","6300001004996"
"4_830","830","JPY","0","0","6300001004996"
"4_840","840","JPY","0","0","6300001004996"
"4_850","850","JPY","0","0","6300001004996"
"4_860","860","JPY","0","0","6300001004996"
"4_870","870","JPY","0","0","6300001004996"
"4_880","880","JPY","0","0","6300001004996"
"4_890","890","JPY","0","0","6300001004996"
"4_900","900","JPY","0","0","6300001004996"
"4_910","910","JPY","0","0","6300001004996"
"4_920","920","JPY","0","0","6300001004996"
"4_930","930","JPY","0","0","6300001004996"
"4_940","940","JPY","0","0","6300001004996"
"4_950","950","JPY","0","0","6300001004996"
"4_960","960","JPY","0","0","6300001004996"
"4_970","970","JPY","0","0","6300001004996"
"4_980","980","JPY","0","0","6300001004996"
"4_990","990","JPY","0","0","6300001004996"
"4_1000","1000","JPY","0","0","6300001004996"
"5_150","150","JPY","0","0","5290001021128"
"5_170","170","JPY","0","0","5290001021128"
"5_190","190","JPY","0","0","5290001021128"
"5_200","200","JPY","0","0","5290001021128"
"5_210","210","JPY","0","0","5290001021128"
"5_220","220","JPY","0","0","5290001021128"
"5_230","230","JPY","0","0","5290001021128"
"5_240","240","JPY","0","0","5290001021128"
"5_250","250","JPY","0","0","5290001021128"
"5_260","260","JPY","0","0","5290001021128"
"5_270","270","JPY","0","0","5290001021128"
"5_280","280","JPY","0","0","5290001021128"
"5_290","290","JPY","0","0","5290001021128"
"5_300","300","JPY","0","0","5290001021128"
"5_310","310","JPY","0","0","5290001021128"
"5_320","320","JPY","0","0","5290001021128"
"5_330","330","JPY","0","0","5290001021128"
"5_340","340","JPY","0","0","5290001021128"
"5_350","350","JPY","0","0","5290001021128"
"5_360","360","JPY","0","0","5290001021128"
"5_370","370","JPY","0","0","5290001021128"
"5_380","380","JPY","0","0","5290001021128"
"5_390","390","JPY","0","0","5290001021128"
"5_400","400","JPY","0","0","5290001021128"
"5_410","410","JPY","0","0","5290001021128"
"5_420","420","JPY","0","0","5290001021128"
"5_430","430","JPY","0","0","5290001021128"
"5_440","440","JPY","0","0","5290001021128"
"5_450","450","JPY","0","0","5290001021128"
"5_460","460","JPY","0","0","5290001021128"
"5_470","470","JPY","0","0","5290001021128"
"5_480","480","JPY","0","0","5290001021128"
"5_490","490","JPY","0","0","5290001021128"
"5_500","500","JPY","0","0","5290001021128"
"5_520","520","JPY","0","0","5290001021128"
"5_530","530","JPY","0","0","5290001021128"
"5_540","540","JPY","0","0","5290001021128"
"5_550","550","JPY","0","0","5290001021128"
"5_560","560","JPY","0","0","5290001021128"
"5_570","570","JPY","0","0","5290001021128"
"5_580","580","JPY","0","0","5290001021128"
"5_590","590","JPY","0","0","5290001021128"
"5_600","600","JPY","0","0","5290001021128"
"5_610","610","JPY","0","0","5290001021128"
"5_620","620","JPY","0","0","5290001021128"
"5_630","630","JPY","0","0","5290001021128"
"5_640","640","JPY","0","0","5290001021128"
"5_650","650","JPY","0","0","5290001021128"
"5_660","660","JPY","0","0","5290001021128"
"5_670","670","JPY","0","0","5290001021128"
"5_680","680","JPY","0","0","5290001021128"
"5_690","690","JPY","0","0","5290001021128"
"5_700","700","JPY","0","0","5290001021128"
"5_710","710","JPY","0","0","5290001021128"
"5_720","720","JPY","0","0","5290001021128"
"5_730","730","JPY","0","0","5290001021128"
"5_740","740","JPY","0","0","5290001021128"
"5_750","750","JPY","0","0","5290001021128"
