"service_id","date","exception_type"
"1_平日","20220327","2"
"1_土日祝","20220327","2"
"1_特別ダイヤ１","20220327","1"
"1_平日","20220328","2"
"1_土日祝","20220328","2"
"1_特別ダイヤ（盆）","20220328","1"
"1_平日","20220329","2"
"1_土日祝","20220329","2"
"1_特別ダイヤ（盆）","20220329","1"
"1_平日","20220330","2"
"1_土日祝","20220330","2"
"1_特別ダイヤ（盆）","20220330","1"
"1_平日","20220331","2"
"1_土日祝","20220331","2"
"1_特別ダイヤ（盆）","20220331","1"
"1_平日","20220401","2"
"1_土日祝","20220401","2"
"1_特別ダイヤ（盆）","20220401","1"
"1_平日","20220402","2"
"1_土日祝","20220402","2"
"1_特別ダイヤ１","20220402","1"
"1_平日","20220403","2"
"1_土日祝","20220403","2"
"1_特別ダイヤ１","20220403","1"
"1_平日","20220404","2"
"1_土日祝","20220404","2"
"1_特別ダイヤ２","20220404","1"
"1_平日","20220429","2"
"1_土日祝","20220429","1"
"1_平日","20220503","2"
"1_土日祝","20220503","1"
"1_平日","20220504","2"
"1_土日祝","20220504","1"
"1_平日","20220505","2"
"1_土日祝","20220505","1"
"1_平日","20220718","2"
"1_土日祝","20220718","1"
"1_平日","20220811","2"
"1_土日祝","20220811","1"
"1_平日","20220919","2"
"1_土日祝","20220919","1"
"1_平日","20220923","2"
"1_土日祝","20220923","1"
"1_平日","20221010","2"
"1_土日祝","20221010","1"
"1_平日","20221103","2"
"1_土日祝","20221103","1"
"1_平日","20221123","2"
"1_土日祝","20221123","1"
"1_平日","20230102","2"
"1_土日祝","20230102","1"
"1_平日","20230109","2"
"1_土日祝","20230109","1"
"1_平日","20230223","2"
"1_土日祝","20230223","1"
"1_平日","20230321","2"
"1_土日祝","20230321","1"
"3_平日","20220429","2"
"3_日祝","20220429","1"
"3_平日","20220503","2"
"3_日祝","20220503","1"
"3_平日","20220504","2"
"3_日祝","20220504","1"
"3_平日","20220505","2"
"3_日祝","20220505","1"
"3_平日","20220718","2"
"3_日祝","20220718","1"
"3_平日","20220811","2"
"3_日祝","20220811","1"
"3_土曜","20220813","2"
"3_日祝","20220813","1"
"3_平日","20220815","2"
"3_日祝","20220815","1"
"3_平日","20220919","2"
"3_日祝","20220919","1"
"3_平日","20220923","2"
"3_日祝","20220923","1"
"3_平日","20221010","2"
