"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_08時00分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_08時25分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_08時50分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_09時15分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_10時07分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_10時32分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_10時57分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_11時27分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_12時08分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_12時33分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_13時07分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_13時32分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_14時02分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_14時27分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_14時52分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_15時10分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_15時37分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_16時02分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_16時27分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_16時52分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_17時17分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_17時42分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_18時08分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_土曜","1_土曜_18時33分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_08時00分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_08時25分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_08時50分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_09時15分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_10時07分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_10時32分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_10時57分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_11時27分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_12時08分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_12時33分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_13時07分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_13時32分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
"1SAGAサンライズパーク線 [準急]","1_日祝","1_日祝_14時02分_系統311111","準急　SAGAサンライズパーク","","","","1SAGAサンライズパーク線(311111)","","","","",""
